ID,scode,sname,sem,dept,credit
,15UCS107,Computer Programming,1,CSE,3
,15UCS109,Computer Programming Laboratory,1,CSE,1
,15UCS111,Engineering Fundamentals Laboratory,1,CSE,1
,15UCY105,Applied Chemistry,1,CSE,3
,15UEN101,Technical English,1,CSE,2
,15UGS112,Basic Sciences Laboratory - I,1,CSE,1
,15UMA102,Engineering Mathematics - I,1,CSE,4
,15UME108,Engineering Graphics,1,CSE,4
,15UPH103,Engineering Physics,1,CSE,3
,15UCS208,Digital Principles and System Design,2,CSE,3
,15UCS209,Programming and Data Structures,2,CSE,3
,15UCS211,Programming and Data Structures Laboratory,2,CSE,1
,15UCY207,Environmental Science,2,CSE,3
,15UEN201,Business English and Presentation Skills,2,CSE,3
,15UGS210,Basic Sciences Laboratory - II,2,CSE,1
,15UMA202,Engineering Mathematics - II,2,CSE,4
,15UPH205,Semiconductor Physics and Opto Electronics,2,CSE,3
,15UMA322,"Probability, Statistics and Queueing Systems",3,CSE,4
,15UCS302,Data Structures,3,CSE,3
,15UCS303,Computer Organization and Architecture,3,CSE,3
,15UCS304,Object Oriented Programming with C++,3,CSE,3
,15UIT305,Operating Systems,3,CSE,3
,15UCS306,Database System Concepts,3,CSE,3
,15UCS307,Object Oriented Programming and Data Structures Laboratory,3,CSE,1
,15UCS308,Database Systems Laboratory,3,CSE,1
,15UIT309,Operating Systems Laboratory,3,CSE,1
,15UGS331,Value Education and Human Rights,3,CSE,0
,15UGS431,Reasoning and Quantitative Aptitude,4,CSE,1
,15UMA421,Discrete Mathematics,4,CSE,4
,15UCS863,PYTHON Programming,4,CSE,1
,15UCS407,Java Programming Laboratory,4,CSE,1
,15UCS408,Data Communication and Networks Laboratory,4,CSE,1
,15UEC429,Digital and Microprocessors Laboratory,4,CSE,1
,15UCS402,Java Programming,4,CSE,3
,15UCS403,Design and Analysis of Algorithms,4,CSE,3
,15UCS404,Computer Communication and Networks,4,CSE,3
,15UCS405,Software Engineering,4,CSE,3
,15UEC426,Microprocessors and Microcontrollers,4,CSE,3
,15UCS501,Internet and Web Technology,5,CSE,3
,15UCS502,Object Oriented Analysis and Design,5,CSE,2
,15UIT503,Graphics and Multimedia,5,CSE,3
,15UCS504,Theory of Computation,5,CSE,4
,15UCS902,Information Storage Management,5,CSE,3
,15UCS924,Professional Elective,5,CSE,3
,15UCS507,Internet and Web Technology Laboratory,5,CSE,1
,15UCS508,Case Tools Laboratory,5,CSE,1
,15UIT509,Graphics and Multimedia Laboratory,5,CSE,1
,15UGS531,Soft Skills and Communication Laboratory,5,CSE,1
,15UCS862,Multimedia,5,CSE,1
,15UEE972,Electric and Hybrid Vehicles,6,CSE,3
,15UCS866,R Programming,6,CSE,1
,15UIT608,Mobile Applications Development Laboratory,6,CSE,1
,15UCS601,Principles of Compiler Design,6,CSE,3
,15UCS603,Artificial Intelligence,6,CSE,3
,15UIT602,Mobile Applications Development,6,CSE,3
,15UCS910,Building Internet of Things,6,CSE,3
,15UIT924,Agile Software Development,6,CSE,3
,15UCS607,Technical Project,6,CSE,3
,15UEC976,Sensors and Actuators,7,CSE,3
,15UME701,Project Management and Finance,7,CSE,3
,15UCS706,Cloud Computing Laboratory,7,CSE,1
,15UCS707,Data Science Laboratory,7,CSE,1
